 Titolo :Alchimia e kabbalah	Ricavo totale :1700.0
 Titolo :EXCEL le 10 cose che devi conoscere del foglio elettronico	Ricavo totale :399.59998
 Titolo : Dungeons & Dragons - 5a Edizione - Manuale del Giocatore	Ricavo totale :1035000.0
 Titolo :Grammatica italiana	Ricavo totale :2750.0
 Titolo :Kobane calling. Oggi:	Ricavo totale :44000.0
 Titolo :A babbo morto. Una storia di Natale 	Ricavo totale :1100.0
 Titolo :Scheletri	Ricavo totale :20000.0
 Titolo :La scuola di pizze in faccia del professor Calcare	Ricavo totale :21400.0
 Titolo :Dodici	Ricavo totale :11000.0
 Titolo :Tecniche proibite di persuasione, manipolazione e influenza utilizzando schemi di linguaggio e tecniche di PNL	Ricavo totale :15400.0
 Titolo :cambio libro	Ricavo totale :122.5
 Titolo :In cucina con ciccio	Ricavo totale :16.5
 Titolo :"titolo ins prova"	Ricavo totale :225.0
