Titolo :La Republica1	Ricavo totale :10.0
Titolo :La Republica2	Ricavo totale :0.0
Titolo :La Republica3	Ricavo totale :20.0
Titolo :La Republica4	Ricavo totale :28.0
Titolo :La Republica5	Ricavo totale :20.0
Titolo :La Republica6	Ricavo totale :30.0
Titolo :Il Fatto Quotidiano1	Ricavo totale :0.0
Titolo :Il Fatto Quotidiano2	Ricavo totale :0.0
Titolo :Il Fatto Quotidiano3	Ricavo totale :0.0
Titolo :Il Fatto Quotidiano4	Ricavo totale :30.0
Titolo :Il Fatto Quotidiano5	Ricavo totale :32.0
Titolo :La gazzetta del profeta	Ricavo totale :17.0
