GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LibreriaMaven Maven Webapp,laptop.database,ContrassegnoDao,21,98,1,3,6,32,1,5,0,4
LibreriaMaven Maven Webapp,laptop.database,RivistaDao,539,727,20,16,155,146,20,21,10,13
LibreriaMaven Maven Webapp,laptop.database,PagamentoDao,28,157,1,5,8,44,1,7,0,5
LibreriaMaven Maven Webapp,laptop.database,NegozioDao,48,151,6,4,14,45,4,7,0,6
LibreriaMaven Maven Webapp,laptop.database,GiornaleDao,444,693,14,16,129,142,16,21,9,13
LibreriaMaven Maven Webapp,laptop.database,UsersDao,376,780,11,17,118,219,17,23,8,18
LibreriaMaven Maven Webapp,laptop.database,CartaCreditoDao,14,168,0,4,4,45,0,6,0,4
LibreriaMaven Maven Webapp,laptop.database,LibroDao,399,859,13,15,118,166,15,21,8,14
LibreriaMaven Maven Webapp,laptop.model,CartaDiCredito,35,105,0,0,13,36,5,18,5,18
LibreriaMaven Maven Webapp,laptop.model,Fattura,38,42,0,0,10,19,3,12,3,12
LibreriaMaven Maven Webapp,laptop.model,Negozio,8,50,0,0,1,20,1,10,1,10
LibreriaMaven Maven Webapp,laptop.model,User.Ruoli,0,27,0,0,0,5,0,1,0,1
LibreriaMaven Maven Webapp,laptop.model,User,24,97,3,7,6,38,4,23,1,18
LibreriaMaven Maven Webapp,laptop.model,TempUser.RuoliT,0,27,0,0,0,5,0,1,0,1
LibreriaMaven Maven Webapp,laptop.model,TempUser,25,96,3,7,7,37,4,23,1,18
LibreriaMaven Maven Webapp,laptop.model,Pagamento,49,71,1,1,13,30,4,15,3,15
LibreriaMaven Maven Webapp,laptop.model.raccolta,Factory,52,258,1,15,10,41,6,14,5,6
LibreriaMaven Maven Webapp,laptop.model.raccolta,MatchParam,0,70,0,0,0,18,0,3,0,3
LibreriaMaven Maven Webapp,laptop.model.raccolta,Giornale,0,183,0,0,0,62,0,24,0,24
LibreriaMaven Maven Webapp,laptop.model.raccolta,CategorieRivista,0,87,0,0,0,5,0,1,0,1
LibreriaMaven Maven Webapp,laptop.model.raccolta,Libro,112,360,21,13,45,115,23,46,2,36
LibreriaMaven Maven Webapp,laptop.model.raccolta,CategorieLibro,0,183,0,0,0,10,0,1,0,1
LibreriaMaven Maven Webapp,laptop.model.raccolta,Rivista,0,285,0,15,0,100,0,42,0,28
LibreriaMaven Maven Webapp,web.bean,SystemBean,78,15,0,2,34,6,22,4,22,3
LibreriaMaven Maven Webapp,web.bean,RivistaBean,58,135,0,0,22,53,18,14,18,14
LibreriaMaven Maven Webapp,web.bean,UserBean,48,77,4,6,18,31,13,17,9,13
LibreriaMaven Maven Webapp,web.bean,DownloadBean,21,3,0,0,9,1,6,1,6,1
LibreriaMaven Maven Webapp,web.bean,LibroBean,240,135,21,9,88,58,38,29,17,21
LibreriaMaven Maven Webapp,web.bean,AcquistaBean,14,17,0,0,6,7,4,5,4,5
LibreriaMaven Maven Webapp,web.bean,TextAreaBean,36,500,0,8,11,107,2,10,2,6
LibreriaMaven Maven Webapp,web.bean,UserBean.Ruoli,0,27,0,0,0,5,0,1,0,1
LibreriaMaven Maven Webapp,web.bean,FatturaBean,16,22,0,0,6,10,5,6,5,6
LibreriaMaven Maven Webapp,web.bean,GiornaleBean,49,48,0,0,19,22,15,12,15,12
LibreriaMaven Maven Webapp,web.bean,NegozioBean,16,22,0,0,6,10,5,6,5,6
LibreriaMaven Maven Webapp,web.bean,CartaCreditoBean,42,10,0,0,18,4,12,3,12,3
LibreriaMaven Maven Webapp,web.bean,PagamentoBean,25,34,0,0,9,16,8,9,8,9
LibreriaMaven Maven Webapp,web.bean,RicercaBean,0,10,0,0,0,4,0,3,0,3
LibreriaMaven Maven Webapp,web.bean,ModificaOggettoBean,21,10,0,0,9,4,6,3,6,3
LibreriaMaven Maven Webapp,laptop.exception,IdException,4,0,0,0,2,0,1,0,1,0
LibreriaMaven Maven Webapp,laptop.exception,AcquistaException,4,0,0,0,2,0,1,0,1,0
LibreriaMaven Maven Webapp,laptop.exception,LogoutException,4,0,0,0,2,0,1,0,1,0
LibreriaMaven Maven Webapp,laptop.controller,ControllerGestionePage,74,66,13,3,19,17,9,4,2,2
LibreriaMaven Maven Webapp,laptop.controller,ControllerRegistraUtente,11,123,11,11,3,27,11,6,0,6
LibreriaMaven Maven Webapp,laptop.controller,ControllerAcquista,255,130,27,3,59,33,23,5,7,3
LibreriaMaven Maven Webapp,laptop.controller,ControllerModifPage,0,186,0,0,0,40,0,7,0,7
LibreriaMaven Maven Webapp,laptop.controller,ControllerDownload,39,173,11,7,11,44,12,7,3,5
LibreriaMaven Maven Webapp,laptop.controller,ControllerAggiungiPage,6,129,4,4,2,28,4,4,0,4
LibreriaMaven Maven Webapp,laptop.controller,ControllerPassword,4,51,5,3,0,12,4,2,0,2
LibreriaMaven Maven Webapp,laptop.controller,ControllerReportPage,139,235,6,14,34,59,6,15,3,8
LibreriaMaven Maven Webapp,laptop.controller,ControllerPagamentoCash,34,21,0,0,9,6,1,1,1,1
LibreriaMaven Maven Webapp,laptop.controller,ControllerAggiungiUtente,0,44,0,0,0,13,0,2,0,2
LibreriaMaven Maven Webapp,laptop.controller,ControllerRicercaPerTipo,3,34,1,3,1,12,1,4,0,2
LibreriaMaven Maven Webapp,laptop.controller,ControllerVisualizzaProfilo,0,23,1,1,0,8,1,3,0,3
LibreriaMaven Maven Webapp,laptop.controller,ControllerHomePageAfterLoginSE,56,0,2,0,16,0,3,0,2,0
LibreriaMaven Maven Webapp,laptop.controller,ControllerReportRaccolta,0,9,0,0,0,3,0,3,0,3
LibreriaMaven Maven Webapp,laptop.controller,ControllerScegliNegozio,11,22,0,0,4,7,3,2,3,2
LibreriaMaven Maven Webapp,laptop.controller,ControllerLogin,58,6,4,0,16,2,4,1,2,1
LibreriaMaven Maven Webapp,laptop.controller,ControllerBookData,0,87,0,0,0,17,0,2,0,2
LibreriaMaven Maven Webapp,laptop.controller,ControllerRicercaPage,5,52,1,3,2,15,2,4,1,2
LibreriaMaven Maven Webapp,laptop.controller,ControllerSystemState,17,58,0,2,7,25,5,16,5,15
LibreriaMaven Maven Webapp,laptop.controller,ControllerHomePageAfterLogin,66,0,2,0,21,0,3,0,2,0
LibreriaMaven Maven Webapp,laptop.controller,ControllerVisualizza,19,84,0,0,4,18,2,4,2,4
LibreriaMaven Maven Webapp,laptop.controller,ControllerVisualizzaOrdine,0,12,0,0,0,4,0,2,0,2
LibreriaMaven Maven Webapp,laptop.controller,ControllerModificaUtente,106,59,25,1,23,17,14,3,1,3
LibreriaMaven Maven Webapp,laptop.controller,ControllerCheckPagamentoData,16,151,5,3,4,33,4,4,1,2
LibreriaMaven Maven Webapp,laptop.controller,ControllerUserPage,0,10,0,0,0,5,0,2,0,2
LibreriaMaven Maven Webapp,laptop.controller,ControllerCompravendita,71,72,7,3,18,19,9,4,4,2
LibreriaMaven Maven Webapp,laptop.controller,ControllerCancellaUser,0,15,0,0,0,5,0,2,0,2
LibreriaMaven Maven Webapp,laptop.controller,ControllerPagamentoCC,35,194,14,6,6,36,10,6,0,6
LibreriaMaven Maven Webapp,laptop.utilities,ConnToDb,27,128,1,1,8,39,1,4,0,4
LibreriaMaven Maven Webapp,laptop.utilities,PopulateDefaultDb,7,190,0,0,2,57,0,8,0,8
LibreriaMaven Maven Webapp,laptop.utilities,CreateDefaultDB,20,97,4,4,5,26,5,1,1,1
